Id,Folder Path,Sub Search Id,eBay Search Alias,Sub Search Alias,Keywords,Keyword enabled,Search in Description,Price Min,Price Max,Category ID,Condition,Site,Located in,Ships to,Ship Zipcode,Sellers,Include/Exclude,Interval,Listing Type,Filter,View
ac67a19a-6302-4c22-88d0-8cb610b6c596,Default,,Gold,,"8k,""8 k"",8kt,9kt,10kt,14kt,18kt,22kt,22k,9k,""9 k"",10k,""10 k"",14k,""14 k"",""scrap gold"",18k,""18K"",""14 kt"",""10 kt"",""18 kt"",""8 kt"",""9 kt"",""22 kt"",""750 gold"",""14 karat"",""18 karat"",""10 karat"",""8 karat"",""9 karat"",375,585,750,950,""Fine gold"",417,583,9ct,9 ct,8ct,8 ct",TRUE,FALSE,50,10000,281|162134,,eBay US,US,US,84660,,,0:00:00,BuyItNow,,Apple1
4602e731-0207-449b-93df-4b4cac382af2,Default,,Gold 2,,"8kp,9kp,10kp,14kp,18kp,""14K gold jewelry"",""14K gold necklace"",""14K gold earrings"",""14K gold bracelet"",""14K gold ring"",""14K gold pendant"",""14K solid gold"",""18K scrap"",""14K scrap"",""10K scrap"",""melted gold"",""gold bar"",""gold nugget"",solid gold,19K,16k,21K,20K,17K,15K,14 k,18 k,10 k,14 kt,18 kt,10 kt",TRUE,FALSE,50,100000,162134|281,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
6e3712c3-d380-4f51-89c1-e4191eb2cb54,Default,,Gold Dental,,"dental gold,""dental gold"",""dental scrap"",""gold teeth"",gold crown,gold tooth,dental scrap,gold filling",TRUE,FALSE,50,100000,162134,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
4bd69fa9-6781-4fb2-8f56-9a3b05bacd06,Default,,Gold filled,,"gold fill,gold filled,gold filled scrap,gold filled jewelry,12K Gf,14k gf,10k gf,18k gf,""gold filled scrap"",""gold filled"",""14K GF""",TRUE,FALSE,25,100000,20081|1|281,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
3adca0d5-b1e2-4f70-a420-0e1ce46859aa,Default,,Gold Terms 1,,"14 karat yellow gold,14k scrap gold lot,gold nugget,18K solid gold,10K solid gold,14k scrap gold,18k scrap gold,14k solid gold,scrap gold lot grams,14k 18k scrap gold lot,10k 14k 18k,14k grams,18k yellow gold,14k yellow gold,14k gold bracelet",TRUE,FALSE,50,10000,39482|281,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
3fd6ec2f-00e6-470c-b387-1a5d140b1982,Default,,Gold Terms 4,,"14K scrap gold,18K scrap gold,10K scrap gold,14kt scrap gold,18kt scrap gold,10kt scrap gold,scrap gold jewelry,scrap gold,10K scrap gold grams,14K scrap gold grams",TRUE,FALSE,50,10000,162134,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
b8195c3c-1b72-40b0-bcee-d1b0d62b70f7,Default,,Gold 10kt Rings,,"10K gold mens ring,10K gold class ring,10K white gold,10K white gold ring,10K ring,10K mens ring,10k gold",TRUE,FALSE,50,10000,91427|4196|10290,Used,eBay US,US,US,92688,,,0:00:00,BuyItNow,,Apple1
f337aa31-e91c-4b41-94d8-a6bea6d833dd,Default,,Sterling scrap,,"sterling,""grams silver"",""grams 925"",""gram sterling"",""gram silver"",""sterling lot"",""silver lot"",""925 lot"",""scrap sterling"",""scrap silver"",""sterling scrap"",""silver scrap"",""mix lot sterling"",""mixed lot sterling"",""sterling flatware lot"",""925 jewelry lot"",""sterling jewelry lot""",TRUE,FALSE,40,10000,20081|1|281,,eBay US,US,US,,,,0:00:00,BuyItNow,,Apple2
f337aa31-e91c-4b41-94d8-a6bea6d833dd,Default,fb9bfdab-b02a-4583-8a5b-9f242dba1d29,Sterling scrap,Sterling scrap 2,"sterling,""sterling silver"",""solid silver"",925,""925 silver"",""925 sterling"",950,""950 silver"",958,999,""fine silver"",""pure silver"",900,""900 silver"",""coin silver"",875,835,""835 silver"",830,""830 silver"",800,""800 silver""",TRUE,FALSE,1,10000,20081|1|281,,,,,,,,,,,
f337aa31-e91c-4b41-94d8-a6bea6d833dd,Default,36e546ff-60a1-4a5d-a040-36116b0ea307,Sterling scrap,New Sub Search,"""scrap silver"",""silver scrap"",""sterling lot"",""sterling scrap"",""sterling flatware"",""sterling tea"",""sterling tray"",Gorham,Towle,Wallace,""Reed Barton"",""Kirk Stieff"",International,Alvin,Shreve,Whiting,Durgin,""troy oz"",""sterling coffee""",TRUE,FALSE,1,10000,20081|1|281,,,,,,,,,,,
